mass [g],459,eprSpeed [mVps],500
time,eprVin,distance,
919,3062,121,
920,3074,121,
921,3086,121,
922,3098,120,
922,3110,120,
923,3123,122,
924,3135,122,
924,3147,120,
925,3159,121,
926,3171,118,
927,3183,119,
928,3195,124,
929,3207,123,
930,3219,121,
931,3231,120,
931,3244,120,
932,3256,120,
933,3268,117,
933,3281,124,
934,3294,118,
935,3306,121,
936,3318,121,
937,3330,121,
938,3342,121,
939,3354,121,
940,3366,121,
941,3378,118,
942,3390,119,
942,3402,120,
942,3415,124,
943,3427,121,
943,3440,119,
944,3452,121,
945,3464,118,
946,3476,120,
948,3488,121,
949,3500,122,
950,3512,120,
951,3524,121,
951,3536,120,
952,3548,121,
953,3560,120,
953,3573,118,
954,3585,117,
955,3597,122,
955,3609,122,
956,3622,121,
957,3634,120,
958,3646,123,
959,3658,120,
960,3670,120,
961,3682,118,
962,3694,123,
962,3707,120,
963,3719,120,
964,3731,118,
964,3744,119,
965,3757,120,
966,3769,118,
967,3781,120,
968,3793,117,
969,3805,120,
970,3817,121,
971,3829,123,
972,3841,117,
973,3853,119,
974,3865,123,
974,3877,117,
975,3890,122,
975,3902,121,
976,3915,119,
977,3927,121,
978,3939,120,
979,3951,121,
980,3963,120,
981,3975,118,
982,3987,118,
982,4000,120,
983,4012,124,
984,4024,121,
984,4037,119,
985,4050,120,
986,4062,120,
986,4074,121,
987,4087,119,
988,4095,121,
989,4095,119,
990,4095,122,
991,4095,119,
992,4095,119,
994,4095,121,
995,4095,119,
995,4095,123,
996,4095,118,
997,4095,121,
997,4095,120,
998,4095,121,
999,4095,121,
1000,4095,122,
1001,4095,119,
1002,4095,120,
1003,4095,119,
1004,4095,120,
1005,4095,120,
1005,4095,120,
1006,4095,122,
1007,4095,121,
1007,4095,121,
1008,4095,122,
1009,4095,122,
1010,4095,121,
1011,4095,120,
1012,4095,117,
1013,4095,120,
1014,4095,118,
1015,4095,123,
1015,4095,117,
1015,4095,121,
1016,4095,118,
1016,4095,118,
1017,4095,120,
1018,4095,121,
1019,4095,121,
1020,4095,121,
1021,4095,122,
1022,4095,122,
1023,4095,121,
1024,4095,120,
1024,4095,119,
1024,4095,121,
1025,4095,119,
1025,4095,121,
1026,4095,120,
1027,4095,118,
1028,4095,119,
1029,4095,122,
1030,4095,119,
1031,4095,119,
1032,4095,121,
1033,4095,119,
1033,4095,120,
1033,4095,121,
1034,4095,119,
1034,4095,122,
1034,4095,122,
1035,4095,121,
1036,4095,117,
1037,4095,121,
1038,4095,121,
1039,4095,120,
1040,4095,119,
1041,4095,120,
1042,4095,120,
1042,4095,121,
1043,4095,119,
1044,4095,124,
1044,4095,121,
1046,4095,121,
1047,4095,119,
1048,4095,119,
1049,4095,117,
1050,4095,121,
1051,4095,120,
1052,4095,119,
1053,4095,120,
1054,4095,122,
1055,4095,121,
1056,4095,118,
1056,4095,122,
1057,4095,119,
1058,4095,118,
1058,4095,117,
1059,4095,121,
1060,4095,120,
1061,4095,118,
1062,4095,119,
1063,4095,118,
1064,4095,121,
1065,4095,122,
1066,4095,120,
1066,4095,119,
1067,4095,120,
1068,4095,122,
1068,4095,120,
1069,4095,121,
1070,4095,119,
1071,4095,119,
1072,4095,120,
1073,4083,120,
1074,4071,121,
1075,4059,119,
1075,4046,120,
1075,4033,120,
1076,4021,121,
1076,4008,120,
1077,3995,121,
1078,3983,119,
1079,3971,120,
1080,3959,116,
1081,3947,125,
1082,3935,121,
1083,3923,118,
1084,3911,121,
1085,3899,119,
1086,3887,122,
1086,3875,121,
1087,3862,119,
1088,3850,124,
1088,3838,120,
1089,3826,122,
1090,3814,121,
1091,3802,121,
1092,3790,118,
1093,3778,120,
1094,3766,118,
1095,3754,119,
1095,3741,119,
1096,3729,117,
1096,3716,121,
1097,3703,121,
1099,3691,121,
1099,3679,119,
1100,3666,118,
1101,3654,122,
1102,3642,122,
1103,3630,124,
1104,3618,119,
1105,3606,121,
1106,3594,121,
1106,3581,120,
1107,3568,122,
1108,3556,121,
1108,3544,123,
1109,3531,121,
1110,3519,117,
1111,3507,121,
1112,3495,119,
1113,3483,121,
1114,3471,121,
1115,3459,120,
1116,3447,121,
1117,3435,120,
1117,3422,121,
1118,3409,124,
1119,3398,121,
1119,3385,120,
1120,3372,117,
1121,3360,119,
1122,3348,120,
1123,3336,120,
1124,3324,121,
1125,3312,118,
1126,3300,121,
1126,3287,123,
1127,3275,118,
1128,3263,121,
1128,3251,122,
1129,3238,120,
1130,3226,122,
1130,3214,120,
1131,3202,121,
1132,3190,122,
1133,3178,122,
1134,3166,121,
1135,3154,120,
1136,3142,122,
1137,3130,123,
1137,3117,121,
1138,3105,122,
1138,3092,122,
1138,3079,119,
1139,3066,119,
1140,3054,121,
1141,3042,121,
1142,3030,122,
1144,3018,118,
1145,3006,117,
1146,2994,121,
1147,2982,121,
1148,2970,122,
1148,2957,123,
1149,2944,121,
1150,2932,123,
1150,2920,120,
1151,2907,122,
1152,2895,118,
1153,2883,120,
1154,2871,120,
1155,2859,121,
1156,2847,119,
1157,2835,121,
1157,2823,119,
1158,2811,122,
1159,2799,119,
1159,2786,118,
1160,2774,123,
1161,2762,122,
1162,2750,120,
1163,2738,120,
1164,2726,120,
1165,2714,121,
1166,2702,121,
1166,2689,118,
1167,2677,122,
1168,2665,120,
1168,2652,120,
1169,2639,118,
1170,2627,119,
1171,2615,122,
1172,2603,117,
1173,2591,119,
1174,2579,122,
1175,2567,118,
1176,2555,119,
1177,2543,120,
1178,2531,118,
1178,2518,122,
1179,2505,121,
1179,2493,120,
1180,2481,119,
1181,2469,120,
1182,2457,119,
1183,2445,120,
1184,2433,116,
1185,2421,122,
1186,2409,121,
1187,2397,119,
1187,2385,119,
1188,2372,120,
1189,2360,118,
1190,2348,117,
1191,2336,119,
1192,2324,118,
1193,2312,118,
1194,2300,118,
1194,2288,119,
1195,2276,120,
1196,2264,119,
1196,2251,119,
1197,2239,119,
1198,2227,121,
1198,2215,119,
1200,2203,117,
1201,2191,116,
1202,2179,118,
1203,2167,121,
1203,2155,117,
1204,2142,118,
1205,2130,121,
1205,2117,119,
1206,2105,121,
1207,2093,119,
1208,2081,123,
1209,2069,120,
1210,2057,118,
1211,2045,118,
1212,2033,121,
1212,2020,120,
1213,2008,120,
1214,1996,120,
1214,1983,120,
1215,1970,118,
1216,1958,119,
1217,1946,118,
1218,1934,118,
1219,1922,119,
1220,1910,117,
1221,1898,117,
1221,1885,117,
1222,1872,119,
1223,1860,120,
1224,1848,117,
1225,1836,114,
1226,1824,119,
1227,1812,117,
1228,1800,118,
1228,1787,118,
1229,1775,122,
1229,1763,119,
1230,1750,117,
1231,1738,118,
1232,1726,117,
1233,1714,119,
1234,1702,119,
1235,1690,120,
1236,1678,122,
1236,1666,120,
1237,1653,119,
1238,1641,118,
1238,1628,117,
1239,1616,117,
1240,1604,118,
1241,1592,117,
1242,1580,118,
1243,1568,116,
1244,1556,118,
1245,1544,120,
1245,1531,118,
1246,1519,117,
1247,1507,116,
1248,1495,117,
1249,1483,118,
1250,1471,117,
1251,1459,117,
1252,1447,118,
1253,1435,119,
1254,1423,116,
1254,1410,114,
1255,1397,117,
1256,1385,118,
1257,1373,119,
1258,1361,117,
1259,1349,115,
1261,1337,112,
1262,1325,114,
1262,1312,115,
1263,1300,118,
1264,1288,115,
1264,1275,115,
1265,1262,117,
1265,1250,118,
1266,1238,114,
1267,1226,115,
1268,1214,115,
1269,1202,115,
1270,1190,117,
1271,1178,116,
1272,1166,117,
1273,1154,116,
1273,1142,114,
1274,1129,114,
1275,1117,112,
1276,1105,115,
1277,1093,116,
1278,1081,113,
1279,1069,115,
1280,1057,114,
1281,1045,112,
1282,1033,113,
1282,1020,115,
1283,1007,117,
1284,995,111,
1285,983,114,
1286,971,115,
1287,959,111,
1288,947,116,
1289,935,114,
1290,923,112,
1291,911,111,
1292,899,115,
1292,886,114,
1292,873,113,
1293,861,112,
1294,849,111,
1295,837,113,
1296,825,113,
1297,813,111,
1298,801,112,
1298,788,110,
1298,775,111,
1299,762,113,
1300,750,109,
1301,738,108,
1302,726,107,
1303,714,112,
1304,702,110,
1305,690,108,
1306,678,108,
1307,666,106,
1308,654,108,
1308,641,109,
1309,628,111,
1310,616,108,
1311,604,109,
1311,592,106,
1312,579,106,
1314,567,106,
1315,555,108,
1316,543,109,
1317,531,107,
1318,519,105,
1318,506,106,
1319,494,106,
1320,482,107,
1321,470,103,
1321,457,106,
1321,444,104,
1322,432,105,
1323,421,103,
1323,408,105,
1324,395,104,
1325,383,104,
1326,371,102,
1326,359,99,
1327,346,101,
1328,334,100,
1329,322,102,
1330,310,100,
1331,298,104,
1332,286,97,
1333,274,99,
1334,262,99,
1335,250,100,
1336,238,100,
1337,226,100,
1337,213,99,
1337,200,99,
1337,187,101,
1338,175,97,
1339,163,99,
1340,151,100,
1341,139,99,
1342,127,99,
1343,115,96,
1344,103,100,
1345,91,98,
1346,79,99,
1346,67,97,
1346,54,100,
1346,41,97,
1346,29,99,
1347,16,100,
1348,4,99,
1349,0,99,
1350,0,99,
1351,0,99,
1352,0,97,
1353,0,98,
1354,0,96,
1354,0,99,
1355,0,97,
1357,0,101,
1358,0,99,
